date,REE_code,FMC_code,REE_high,FMC_high,REE_low,FMC_low,REE_open,FMC_open,REE_close,FMC_close,REE_adjust,FMC_adjust,REE_volume_match,FMC_volume_match,REE_value_match,FMC_value_match
2021-04-02T00:00:00.000,REE,FMC,54.2,36.85,53.7,35.9,54,36.65,53.7,36.5,33.4,32.48,542500,211600,29286000000,7720000000
2021-04-01T00:00:00.000,REE,FMC,53.9,36.95,52.5,34.8,52.7,35.35,53.9,36.65,33.52,32.62,458300,352500,24306000000,12599000000
2021-03-31T00:00:00.000,REE,FMC,53.2,35.6,52.4,35.1,52.4,35.1,52.6,35.35,32.71,31.46,728900,125900,38377000000,4457000000
2021-03-30T00:00:00.000,REE,FMC,54.3,35.7,52.6,35.2,54.3,35.6,53.2,35.5,33.09,31.59,816600,106400,43454000000,3773000000
2021-03-29T00:00:00.000,REE,FMC,54.3,35.85,53.4,35.1,54,35.1,54.3,35.6,33.77,31.68,301000,94100,16172000000,3343000000
2021-03-26T00:00:00.000,REE,FMC,54,35.5,49.7,33.9,53.4,35.1,54,35.1,33.58,31.24,870500,235700,45841000000,8187000000
2021-03-25T00:00:00.000,REE,FMC,54.2,35.1,53.3,34.4,54,34.5,53.4,34.55,33.21,30.75,565800,246000,30396000000,8565000000
2021-03-24T00:00:00.000,REE,FMC,55,35.65,53.5,34.4,54.3,35.6,54,34.4,33.58,30.61,672400,231300,36378000000,8142000000
2021-03-23T00:00:00.000,REE,FMC,56.5,36.7,55.1,35.7,56.5,36.4,55.5,36.2,34.52,32.22,456100,210500,25403000000,7616000000
2021-03-22T00:00:00.000,REE,FMC,57,36.7,56,35.6,56.6,36.4,56.5,36.05,35.14,32.08,982800,164800,55597000000,5948000000
2021-03-19T00:00:00.000,REE,FMC,56.3,37,53.9,36.25,54.1,37,56.2,36.4,34.95,32.39,1678800,291900,92899000000,10652000000
2021-03-18T00:00:00.000,REE,FMC,54.8,37.7,53.9,36.65,54.3,37.7,54.1,37,33.65,32.93,428500,278700,23259000000,10317000000
2021-03-17T00:00:00.000,REE,FMC,54,37.8,53.4,37.3,53.9,37.5,53.9,37.35,33.52,33.24,636800,211400,34197000000,7923000000
2021-03-16T00:00:00.000,REE,FMC,54.9,38.25,53.3,37,54.9,37,53.9,37.5,33.52,33.37,1072000,563400,57877000000,21113000000
2021-03-15T00:00:00.000,REE,FMC,55.5,37.2,54.8,35.1,55.2,35.2,54.9,37.1,34.14,33.02,586200,941200,32358000000,34503000000
2021-03-12T00:00:00.000,REE,FMC,55.6,34.95,55.1,34.2,55.5,34.65,55.5,34.8,34.52,30.97,611700,502300,33838000000,17439000000
2021-03-11T00:00:00.000,REE,FMC,55.5,33.95,55,33.2,55,33.8,55.5,33.9,34.52,30.17,821900,309900,45479000000,10409000000
2021-03-10T00:00:00.000,REE,FMC,54.9,33.6,54,33,54.7,33,54.9,33.5,34.14,29.81,968100,189300,52765000000,6301000000
2021-03-09T00:00:00.000,REE,FMC,55.6,33.7,53.7,32.9,55.4,33,55,33.2,34.21,29.55,1461200,120800,79775000000,4019000000
2021-03-08T00:00:00.000,REE,FMC,56.5,34,55.4,33.3,55.5,34,56,33.6,34.83,29.9,614800,199900,34397000000,6714000000
2021-03-05T00:00:00.000,REE,FMC,55.5,33.5,54.5,32.5,55.5,33.2,55.4,33.3,34.45,29.63,641600,236400,35279000000,7800000000
2021-03-04T00:00:00.000,REE,FMC,57.6,34.5,54.5,33.05,57.6,34.4,55.5,33.2,34.52,29.55,948400,235900,53254000000,7984000000
2021-03-03T00:00:00.000,REE,FMC,57.4,34.3,56.7,33.6,57.3,34,57.1,34.2,35.51,30.44,1146400,430800,65441000000,14666000000
2021-03-02T00:00:00.000,REE,FMC,57.6,34.15,56.7,31.45,57.4,34.15,56.9,33.8,35.39,30.08,563900,212600,32217000000,7114000000
2021-03-01T00:00:00.000,REE,FMC,57.3,34,56.7,32.7,56.7,32.75,56.9,33.8,35.39,30.08,874100,316200,49813000000,10545000000
2021-02-26T00:00:00.000,REE,FMC,56.8,32.75,55.6,32.2,55.7,32.2,56.7,32.25,35.26,28.7,1037700,155600,58404000000,5050000000
2021-02-25T00:00:00.000,REE,FMC,57.7,33,56,32.4,57.1,32.7,56.4,32.6,35.08,29.01,816200,146800,46126000000,4795000000
2021-02-24T00:00:00.000,REE,FMC,57.2,33.05,55,32.5,56.8,32.9,57,32.7,35.45,29.1,616000,136300,34669000000,4467000000
2021-02-23T00:00:00.000,REE,FMC,57.5,33.2,56,32.45,57,32.95,56.4,33,35.08,29.37,990700,183300,56063000000,6035000000
2021-02-22T00:00:00.000,REE,FMC,58.3,33.1,56.8,32.65,58.1,33,57,32.95,35.45,29.32,1044700,171400,60182000000,5635000000
2021-02-19T00:00:00.000,REE,FMC,59.5,33.3,58.5,31.8,58.5,32,58.6,32.6,36.44,29.01,637700,186000,37526000000,6074000000
2021-02-18T00:00:00.000,REE,FMC,59.6,32.75,57.5,31.15,59,31.3,59.6,32.2,37.07,28.66,1053100,202500,61830000000,6507000000
2021-02-17T00:00:00.000,REE,FMC,59.2,31.2,57,30,58,30,59.1,31.2,36.75,27.77,1912700,105800,112061000000,3249000000
2021-02-09T00:00:00.000,REE,FMC,57,30,53.5,29.45,57,29.5,57,29.95,35.45,26.65,1500300,137000,82469000000,4077000000
2021-02-08T00:00:00.000,REE,FMC,56,31.2,52.8,28.5,54,30.6,54,29.5,33.58,26.25,1818200,193900,99078000000,5871000000
2021-02-05T00:00:00.000,REE,FMC,54,31,52.6,30.45,53.5,30.9,53.5,30.6,33.27,27.23,937100,131800,49557000000,4042000000
2021-02-04T00:00:00.000,REE,FMC,54.3,30.3,52.6,29.7,54.3,30,53.5,30.3,33.27,26.96,1187200,211900,63084000000,6358000000
2021-02-03T00:00:00.000,REE,FMC,54.5,29.7,53,28.8,54,28.85,54,29.7,33.58,26.43,1020400,280100,54856000000,8179000000
2021-02-02T00:00:00.000,REE,FMC,53.5,28.9,49.75,28.1,49.8,28.1,53.5,28.85,33.27,25.67,669000,159800,34289000000,4542000000
2021-02-01T00:00:00.000,REE,FMC,51.8,29.9,48.8,28.2,50.8,29.2,50.1,28.35,31.16,25.23,485900,163500,24440000000,4730000000
